date, pm25, pm10, o3, no2, so2, co
2025/3/1, 92, 69, , 8, 6, 1
2025/3/2, 83, 59, , 8, 5, 1
2025/3/3, 80, , , 6, , 
2025/3/4, 84, , , , , 
2025/2/1, 77, 67, , 7, 4, 1
2025/2/2, 86, 63, , 5, 4, 1
2025/2/3, 85, 59, , 5, 4, 1
2025/2/4, 82, 61, , 6, 4, 1
2025/2/5, 81, 66, , 8, 5, 1
2025/2/6, 92, 76, , 8, 6, 1
2025/2/7, 104, 67, , 6, 6, 1
2025/2/8, 97, 65, , 7, 6, 1
2025/2/9, 90, 58, , 8, 5, 1
2025/2/10, 84, 65, , 7, 5, 1
2025/2/11, 93, 65, , 7, 5, 1
2025/2/12, 92, 58, , 4, 5, 1
2025/2/13, 83, 59, , 5, 5, 1
2025/2/14, 89, 71, , 10, 7, 1
2025/2/15, 98, 62, , 8, 5, 1
2025/2/16, 87, 51, , 6, 4, 1
2025/2/17, 76, , , , , 
2025/2/20, 99, 59, , 7, 6, 1
2025/2/21, 81, 65, , 8, 7, 1
2025/2/22, 83, 62, , 7, 5, 1
2025/2/23, 82, 57, , 6, 7, 1
2025/2/24, 78, 65, , 8, 6, 1
2025/2/25, 84, 327, , 6, 4, 1
2025/2/26, 84, , , 8, 5, 1
2025/2/27, 156, 126, , 10, 6, 1
2025/2/28, 105, 76, , 13, 7, 1
2025/1/1, 96, 59, 45, 3, , 1
2025/1/2, 89, 51, 38, 3, , 1
2025/1/3, 75, 54, 69, 5, , 1
2025/1/4, 78, 67, 55, 7, , 1
2025/1/5, 98, 68, 30, 5, 6, 1
2025/1/6, 99, 65, 27, 4, 5, 1
2025/1/7, 97, 69, 30, 5, 5, 1
2025/1/8, 101, 64, 32, 4, 4, 1
2025/1/9, 94, 58, 27, 3, 4, 1
2025/1/10, 93, , , , , 
2025/1/13, 100, 72, 1, 5, 4, 1
2025/1/14, 106, 75, , 6, 5, 1
2025/1/15, 115, 79, , 6, 5, 1
2025/1/16, 122, 72, , 4, 5, 1
2025/1/17, 110, 67, , 4, 5, 1
2025/1/18, 99, 64, , 3, 4, 1
2025/1/19, 99, 66, , 4, 4, 1
2025/1/20, 98, 67, , 5, 4, 1
2025/1/21, 99, 77, , 9, 5, 1
2025/1/22, 112, 74, , 7, 5, 1
2025/1/23, 103, 68, , 6, 5, 1
2025/1/24, 96, 75, , 7, 5, 1
2025/1/25, 112, 79, , 7, 5, 1
2025/1/26, 103, 71, , 8, 5, 1
2025/1/27, 101, 59, , 8, 5, 1
2025/1/28, 84, 50, , 5, 4, 1
2025/1/29, 73, 65, , 6, 5, 1
2025/1/30, 91, 54, , 5, 4, 1
2025/1/31, 75, 56, , 4, 4, 1
2024/10/1, 63, 25, 6, 3, 2, 2
2024/10/2, 26, 14, 5, 2, 2, 2
2024/10/3, 19, 28, 1, 2, 2, 2
2024/10/4, 41, 27, 1, 1, 2, 2
2024/10/5, 40, 28, 1, 1, 2, 2
2024/10/6, 41, 36, 1, 1, 2, 2
2024/10/7, 51, 37, 1, 1, 2, 2
2024/10/8, 53, 33, 1, 1, 2, 2
2024/10/9, 50, 31, 1, 1, 2, 2
2024/10/10, 49, 29, 1, 1, 2, 2
2024/10/11, 44, 34, 1, 1, 2, 2
2024/10/12, 48, 31, 1, 1, 2, 2
2024/10/13, 47, 28, 1, 1, 2, 2
2024/10/14, 43, 28, 1, 1, 2, 1
