date, pm25, pm10, o3, no2, so2, co
2025/3/1, 170, 135, 17, 17, 19, 7
2025/3/2, 143, 143, 15, 17, 13, 10
2025/3/3, 158, 156, , 23, 16, 9
2025/3/4, 169, , , , , 
2025/2/1, 152, 130, 30, 18, 13, 6
2025/2/2, 157, 127, 23, 23, 13, 15
2025/2/3, 153, 132, 22, 21, 16, 14
2025/2/4, 160, 124, 30, 21, 5, 5
2025/2/5, 146, 134, 53, 19, 90, 9
2025/2/6, 154, 159, 40, 25, 17, 13
2025/2/7, 174, 173, 25, 25, 24, 19
2025/2/8, 185, , , , , 
2025/2/10, 141, 136, 23, 21, 8, 16
2025/2/11, 169, 127, 27, 21, 6, 
2025/2/12, 167, 129, 27, 19, 10, 
2025/2/13, 161, 173, , 28, 24, 
2025/2/14, 173, 161, 6, 28, 5, 
2025/2/15, 168, 140, 24, 20, 23, 
2025/2/16, 162, 127, 20, 21, 15, 
2025/2/17, 149, 157, 6, 28, 22, 
2025/2/18, 224, 170, 23, 23, 38, 
2025/2/19, 185, 249, 8, 27, 7, 
2025/2/20, 202, 85, 15, 19, 18, 
2025/2/21, 141, , , , , 
2025/2/24, 132, 141, 17, 19, 23, 7
2025/2/25, 151, 146, 21, 22, 22, 10
2025/2/26, 165, 152, 19, 22, 33, 16
2025/2/27, 174, 155, 21, 23, 17, 14
2025/2/28, 167, 159, 22, 18, 18, 7
2025/1/1, 167, 86, 36, 17, 5, 14
2025/1/2, 139, 91, 35, 19, 7, 14
2025/1/3, 134, 129, , 20, 8, 14
2025/1/4, 163, , , , , 
2025/1/7, 160, 111, 36, 18, 5, 14
2025/1/8, 161, 107, 39, 18, 5, 14
2025/1/9, 156, 125, 36, 21, 6, 14
2025/1/10, 168, , 16, 19, 2, 
2025/1/11, 157, , 37, 16, 2, 
2025/1/12, 157, 230, 32, 15, 4, 
2025/1/13, 159, 102, 33, 15, 3, 
2025/1/14, 178, , 31, 16, 5, 
2025/1/15, 179, , 32, 17, 5, 
2025/1/16, 185, 103, 30, 16, 5, 
2025/1/17, 175, 138, 33, 16, 6, 
2025/1/18, 168, 152, 46, 18, 10, 
2025/1/19, 179, 161, 41, 21, 11, 
2025/1/20, 176, 146, 38, 21, 6, 13
2025/1/21, 177, 165, 40, 21, 13, 15
2025/1/22, 187, 160, 32, 21, 13, 10
2025/1/23, 180, 152, 45, 22, 10, 11
2025/1/24, 173, 171, 43, 23, 13, 19
2025/1/25, 185, 161, 48, 21, 12, 20
2025/1/26, 182, 140, 39, 22, 13, 11
2025/1/27, 172, 133, 33, 22, 17, 11
2025/1/28, 164, 126, 27, 21, 15, 17
2025/1/29, 149, 147, 42, 20, 15, 29
2025/1/30, 187, , , , , 
2024/10/1, 110, 80, 30, 8, 3, 
2024/10/2, 145, 50, 17, 6, 3, 
2024/10/3, 77, 42, 12, 7, 2, 
2024/10/4, 56, 52, 19, 7, 4, 
2024/10/5, 61, 56, 25, 7, 4, 
2024/10/6, 61, 77, 36, 11, 4, 
2024/10/7, 121, 97, 32, 10, 4, 
2024/10/8, 149, 57, 15, 9, 4, 
2024/10/9, 96, 55, 17, 8, 8, 
2024/10/10, 103, 43, 22, 7, 4, 
2024/10/11, 78, 65, 1, 12, 5, 
2024/10/12, 145, 48, 26, 9, 4, 
2024/10/13, 76, 40, 33, 8, 4, 
2024/10/14, 64, 50, 28, 10, 5, 
2024/10/15, 77, 72, 37, 11, 6, 
2024/10/16, 119, 71, 21, 11, 4, 
2024/10/17, 135, 73, 16, 8, 4, 
2024/10/18, 105, 35, 14, 7, 5, 
2024/10/19, 85, 61, 3, 8, 5, 
2024/10/20, 92, , , , , 
2024/10/23, 151, 94, 26, 15, 5, 
2024/10/24, 152, 112, 39, 10, 8, 
2024/10/25, 167, 86, 35, 11, 7, 
2024/10/26, 156, 101, 46, 10, 8, 
2024/10/27, 168, 113, 35, 10, 7, 
2024/10/28, 160, 89, 26, 7, 6, 
2024/10/29, 145, 103, 31, 10, 8, 
2024/10/30, 153, 116, 34, 9, 10, 
2024/10/31, 170, 127, 29, 9, 14, 
2024/11/1, 196, 191, 30, 10, 10, 
2024/11/2, 231, 187, 27, 9, 10, 
2024/11/3, 212, 111, 25, 11, 8, 
2024/11/4, 161, 114, 35, 10, 9, 
2024/11/5, 159, 116, 33, 10, 11, 
2024/11/6, 153, 132, 35, 10, 13, 
2024/11/7, 168, 153, 28, 13, 14, 20
2024/11/8, 171, 129, 27, 11, 11, 12
2024/11/9, 165, 145, 29, 10, 13, 12
2024/11/10, 175, 130, 28, 12, 17, 11
2024/11/11, 175, 132, 22, 11, 17, 14
2024/11/12, 174, 114, 26, 12, 17, 13
2024/11/13, 163, 108, 27, 11, 22, 12
2024/11/14, 151, 100, 48, 12, 83, 17
2024/11/15, 144, 111, 24, 28, 13, 15
2024/11/16, 157, 111, 30, 2, 11, 20
2024/11/17, 164, 95, 23, 7, 13, 26
2024/11/18, 138, 89, 42, 11, 5, 12
2024/11/19, 154, 88, 31, 12, 6, 10
2024/11/20, 163, 93, 40, 15, 2, 10
2024/11/21, 162, 94, 26, 20, 6, 11
2024/11/22, 164, 109, 33, 21, 6, 13
2024/11/23, 176, 124, 3, 22, 2, 18
2024/11/24, 184, , , , , 
2024/11/28, 147, 98, 17, 17, 6, 12
2024/11/29, 162, 93, 17, 18, 7, 10
2024/11/30, 161, 103, 17, 18, 7, 10
2024/12/1, 170, 101, 30, 15, 37, 13
2024/12/2, 174, 87, 21, 7, 2, 9
2024/12/3, 157, 79, 24, 8, 1, 14
2024/12/4, 144, 85, 28, 15, 3, 
2024/12/5, 158, 87, 24, 13, 1, 
2024/12/6, 161, , , , , 
2024/12/18, 158, 118, 61, 23, 7, 14
2024/12/19, 186, 110, 42, 19, 1, 14
2024/12/20, 174, 100, 39, 17, 6, 14
2024/12/21, 154, 94, 26, 12, 5, 14
2024/12/22, 157, 88, 29, 13, 4, 14
2024/12/23, 165, 100, 33, 17, 3, 14
2024/12/24, 167, 110, 32, 18, 4, 14
2024/12/25, 174, 112, 34, 21, 7, 14
2024/12/26, 175, 101, 33, 18, 3, 14
2024/12/27, 166, 102, 26, 17, 4, 14
2024/12/28, 171, 98, 33, 13, 3, 
2024/12/29, 147, , , , , 
2024/7/1, 51, 50, 6, 2, 9, 
2024/7/2, 62, 50, 5, 2, 34, 
2024/7/3, 57, 50, 7, 3, 20, 
2024/7/4, 57, 37, 7, 2, 16, 
2024/7/5, 49, 50, 8, 3, 5, 
2024/7/6, 70, 33, 3, 9, 53, 
2024/7/7, 37, 28, 7, 5, 12, 
2024/7/8, 83, 20, 4, 3, , 
2024/7/9, 65, , , , , 
2024/7/11, 72, 37, 3, 2, 6, 
2024/7/12, 74, 35, 5, 2, 29, 
2024/7/13, 83, 59, 5, 1, 8, 
2024/7/14, 285, 608, 5, 2, 12, 
2024/7/15, 34, 47, , 2, , 
2024/7/16, 142, 34, 5, 1, 8, 
2024/7/17, 72, 67, 4, 2, 10, 
2024/7/18, 486, 24, 5, 4, , 
2024/7/19, 36, 20, 7, 5, , 
2024/7/20, 45, 19, 8, 2, , 
2024/7/21, 54, 30, 7, 2, , 
2024/7/22, 53, 20, 11, 3, 1, 
2024/7/23, 38, 32, 8, 3, 2, 
2024/7/24, 42, 20, 12, 2, 2, 
2024/7/25, 27, 34, 6, 2, 1, 
2024/7/26, 44, 29, 7, 2, 1, 
2024/7/27, 37, 48, 8, 2, 1, 
2024/7/28, 47, 38, 7, 2, 1, 
2024/7/29, 45, 44, 6, 3, , 
2024/7/30, 44, 33, 9, 3, 1, 
2024/7/31, 50, 32, 8, 3, 1, 
2024/8/1, 48, 23, 7, 3, 1, 
2024/8/2, 31, 24, 6, 2, 8, 
2024/8/3, 24, 26, 5, 3, 4, 
2024/8/4, 27, 27, 6, 3, 10, 
2024/8/5, 47, 28, 5, 4, 8, 
2024/8/6, 61, 30, 6, 6, 12, 
2024/8/7, 49, 34, 7, 6, 14, 
2024/8/8, 68, 36, 6, 6, 21, 
2024/8/9, 54, 28, 6, 6, 35, 
2024/8/10, 35, 29, 7, 6, 38, 
2024/8/11, 41, 31, 7, 6, 21, 
2024/8/12, 39, 35, 6, 7, 2, 
2024/8/13, 41, 41, 9, 7, 2, 
2024/8/14, 46, 41, 9, 7, 2, 
2024/8/15, 46, 40, 9, 7, 2, 
2024/8/16, 44, 41, 10, 8, 2, 
