date, pm25, pm10, o3, no2, so2, co
2025/3/1, 142, 77, 6, , 15, 1
2025/3/2, 135, 79, 6, , 14, 1
2025/3/3, 137, , , , , 
2025/3/4, 139, , , , , 
2025/2/1, 140, 83, 6, , 16, 1
2025/2/2, 145, 82, 6, , 16, 1
2025/2/3, 143, 80, 6, , 16, 1
2025/2/4, 141, 81, 6, , 17, 1
2025/2/5, 142, 85, 6, , 16, 1
2025/2/6, 147, 91, 6, , 17, 2
2025/2/7, 151, 87, 6, , 17, 1
2025/2/8, 148, 86, 6, , 17, 1
2025/2/9, 146, 82, 6, , 16, 1
2025/2/10, 142, 82, 6, , 16, 1
2025/2/11, 144, 83, 6, , 16, 1
2025/2/12, 146, 81, 6, , 18, 1
2025/2/13, 142, 84, 6, , 18, 2
2025/2/14, 147, 87, 6, , 19, 1
2025/2/15, 149, 80, 6, , 17, 1
2025/2/16, 141, 77, 6, , 14, 1
2025/2/17, 136, 78, 6, , 18, 1
2025/2/18, 137, 80, 6, , 19, 1
2025/2/19, 140, 79, 6, , 19, 1
2025/2/20, 140, 76, 6, , 18, 1
2025/2/21, 135, 79, 6, , 17, 1
2025/2/22, 138, 79, 6, , 17, 1
2025/2/23, 139, 77, 6, , 18, 1
2025/2/24, 137, 527, 6, , 21, 1
2025/2/25, 281, 877, 6, , 20, 1
2025/2/27, 166, 83, 6, , 16, 1
2025/2/28, 145, 81, 6, , 18, 1
2025/1/1, 139, 80, 6, , 17, 14
2025/1/2, 132, 75, 6, , 17, 12
2025/1/3, 124, 76, 6, 1, 17, 14
2025/1/4, 128, 74, 6, 1, 25, 15
2025/1/5, 122, 167, 6, , 16, 14
2025/1/6, 151, 79, 6, , 16, 16
2025/1/7, 130, 78, 6, , 17, 15
2025/1/8, 128, 83, 6, , 18, 17
2025/1/9, 134, 77, 6, 1, 16, 18
2025/1/10, 127, , , , , 
2025/1/11, 122, 80, 6, , 16, 25
2025/1/12, 127, 79, 6, , 16, 33
2025/1/13, 131, 81, 6, , 18, 9
2025/1/14, 133, 80, 6, , 16, 11
2025/1/15, 131, 83, 6, , 15, 14
2025/1/16, 137, 82, 6, , 18, 16
2025/1/17, 135, 77, 6, , 16, 18
2025/1/18, 127, 76, 6, , 17, 19
2025/1/19, 126, 86, 6, , 16, 11
2025/1/20, 148, 90, 6, , 18, 7
2025/1/21, 151, 90, 6, , 16, 
2025/1/22, 151, 88, 6, , 15, 1
2025/1/23, 150, 94, 6, , 18, 1
2025/1/24, 152, 100, 6, , 17, 2
2025/1/25, 155, 89, 6, , 17, 3
2025/1/26, 151, 88, 6, , 17, 2
2025/1/27, 149, 86, 6, , 16, 1
2025/1/28, 145, 82, 6, , 16, 1
2025/1/29, 142, 88, 6, , 17, 1
2025/1/30, 148, 80, 6, , 16, 1
2025/1/31, 141, 80, 6, , 15, 1
2024/10/1, 64, 72, 6, 3, 1, 3
2024/10/2, 90, 50, 6, 3, 1, 3
2024/10/3, 60, , 6, 2, 1, 3
2024/10/5, 69, 42, 4, 2, 1, 3
2024/10/6, 47, 52, 4, 10, 1, 3
2024/10/7, 64, 53, 4, 6, 1, 3
2024/10/8, 65, 50, 4, 5, 1, 3
2024/10/9, 61, 49, 4, 4, 1, 3
2024/10/10, 58, 44, 4, 4, 1, 3
2024/10/11, 51, 51, 4, 4, 1, 3
2024/10/12, 63, 64, 4, 4, 1, 3
2024/10/13, 67, 42, 4, 4, 1, 3
2024/10/14, 48, 44, 5, 5, 1, 3
2024/10/15, 51, 49, 4, 4, 1, 3
2024/10/16, 59, 52, 4, 4, 1, 3
2024/10/17, 82, 39, 4, 3, 1, 3
2024/10/18, 62, 50, 4, 3, 1, 3
2024/10/19, 57, 43, 4, 3, 1, 3
2024/10/20, 49, 43, 4, 4, 1, 3
2024/10/21, 49, 47, 4, 4, 1, 3
