date, pm25, pm10, o3, no2, so2, co
2025/3/1, 143, 98, 6, 1, 1, 1
2025/3/2, 120, 129, 6, 1, 1, 1
2025/3/3, 120, 108, 6, 1, 1, 1
2025/3/4, 132, , , , , 
2025/2/1, 127, , , 1, , 
2025/2/2, 116, , , 1, , 
2025/2/3, 129, 82, 6, 1, 2, 1
2025/2/4, 125, 74, 6, 1, 1, 1
2025/2/5, 126, 75, 6, 2, 1, 1
2025/2/6, 125, , , 2, , 
2025/2/7, 146, , , 2, , 
2025/2/8, 142, 79, , 2, 2, 1
2025/2/9, 145, , , 2, , 
2025/2/10, 131, , , 2, , 
2025/2/11, 130, , , 1, , 
2025/2/12, 122, , , 1, , 
2025/2/13, 118, , , 1, , 
2025/2/14, 115, , , 2, , 
2025/2/15, 166, , , 3, , 
2025/2/16, 126, , , 1, , 
2025/2/17, 125, , , 2, , 
2025/2/18, 119, , , 1, , 
2025/2/19, 226, , , 3, , 
2025/2/20, 120, 67, , 1, 1, 
2025/2/21, 97, , 6, 1, 2, 1
2025/2/22, 108, , , 2, , 
2025/2/23, 119, , , 2, , 
2025/2/24, 117, , , 2, , 
2025/2/25, 121, , , 2, , 
2025/2/26, 140, 92, 6, 2, 2, 1
2025/2/27, 146, , , 2, , 
2025/2/28, 140, , 6, 2, , 
2025/1/1, 130, , 7, 1, 1, 1
2025/1/2, 124, 90, 6, 2, 1, 1
2025/1/3, 129, , , 2, 1, 
2025/1/4, 124, , , 2, , 
2025/1/5, 146, , , 1, , 
2025/1/6, 119, , , 1, , 
2025/1/7, 129, , , 1, , 
2025/1/8, 123, , , 3, , 
2025/1/9, 130, , , 2, , 
2025/1/10, 145, 95, 6, 3, 2, 1
2025/1/11, 158, , , 1, , 
2025/1/12, 149, , , 2, , 
2025/1/13, 135, , , 2, , 
2025/1/14, 137, , , 2, , 
2025/1/15, 156, , , 1, , 
2025/1/16, 149, , , 2, , 
2025/1/17, 142, , , 2, , 
2025/1/18, 130, , , 1, , 
2025/1/19, 129, 97, 6, 2, 2, 1
2025/1/20, 152, 99, 6, 2, 2, 1
2025/1/21, 150, 106, 6, 2, 2, 1
2025/1/22, 154, , , 1, , 
2025/1/23, 129, 90, , 1, , 
2025/1/24, 150, 105, 6, 2, 2, 1
2025/1/25, 154, 92, , 2, 1, 1
2025/1/26, 140, , , 2, , 
2025/1/27, 141, 82, 6, 2, 1, 1
2025/1/28, 158, 72, , 1, 1, 1
2025/1/29, 135, , , 1, , 
2025/1/30, 138, , , 1, , 
2025/1/31, 124, , , 1, , 
2024/10/1, 66, , , 1, , 
2024/10/2, 54, , , 1, , 
2024/10/3, 34, , , 1, , 
2024/10/4, 24, , , 1, , 
2024/10/5, 19, , , 1, , 
2024/10/6, 23, , , 1, , 
2024/10/7, 45, 60, , 1, 2, 1
2024/10/8, 65, , , 1, , 
2024/10/9, 41, , , 1, , 
2024/10/10, 73, , , 1, , 
2024/10/11, 58, , , 1, , 
2024/10/12, 59, , , 1, , 
2024/10/13, 65, 62, 3, 1, 1, 1
2024/10/14, 71, , , 1, , 
2024/10/15, 67, , , 2, , 
2024/10/16, 78, , , 2, , 
2024/10/17, 88, 286, 2, 1, 1, 1
2024/10/18, 79, , , 1, , 
2024/10/19, 76, , , 1, , 
2024/10/20, 52, , , 1, , 
2024/10/21, 56, , 2, 1, , 
2024/10/22, 62, , , 1, , 
2024/10/23, 67, , , 1, , 
2024/10/24, 93, , , 1, , 
2024/10/25, 83, , , 2, , 
2024/10/26, 88, , , 1, , 
2024/10/27, 100, , , 1, , 
2024/10/28, 120, , , 1, , 
2024/10/29, 133, , , 1, , 
2024/10/30, 121, , , 1, , 
2024/10/31, 110, , , 1, , 
2024/11/1, 126, , , 1, , 
2024/11/2, 140, , , 1, , 
2024/11/3, 139, , , 2, , 
2024/11/4, 132, , , 2, , 
2024/11/5, 130, , , 1, , 
2024/11/6, 124, , , 2, , 
2024/11/7, 143, , , 2, , 
2024/11/8, 136, , , 2, , 
2024/11/9, 137, , , 2, , 
2024/11/10, 140, , , 1, , 
2024/11/11, 142, , , 2, , 
2024/11/12, 142, , , , , 
2024/11/14, 144, , , 3, , 
2024/11/15, 134, , , 3, , 
2024/11/16, 141, , , 3, , 
2024/11/17, 124, , , 3, , 
2024/11/18, 106, , , 3, 3, 
2024/11/19, 126, , , 3, , 
2024/11/20, 151, , , 3, , 
2024/11/21, 143, , , 3, , 
2024/11/22, 155, , , 4, , 
2024/11/23, 169, , , 4, , 
2024/11/24, 143, , , 3, , 
2024/11/25, 134, , , 3, , 
2024/11/26, 134, 83, , 3, 3, 2
2024/11/27, 137, , , 4, , 
2024/11/28, 144, 153, , 3, 3, 2
2024/11/29, 154, , , 3, , 
2024/11/30, 141, , , 3, , 
2024/12/1, 151, , , 4, , 
2024/12/2, 156, , , 3, , 2
2024/12/3, 139, 67, , 3, 3, 2
2024/12/4, 137, , , 1, 2, 
2024/12/5, 145, 63, , 1, 1, 1
2024/12/6, 131, , , 1, , 
2024/12/7, 133, 79, 5, 1, 1, 1
2024/12/8, 119, , , 1, , 
2024/12/9, 127, 140, , 1, , 
2024/12/10, 124, , , 2, , 
2024/12/11, 125, , , 1, , 
2024/12/12, 141, , , 2, , 
2024/12/13, 138, , , 2, , 
2024/12/14, 129, , , 1, , 
2024/12/15, 130, , , 3, , 
2024/12/16, 133, , , 2, , 
2024/12/17, 142, , , 2, , 
2024/12/18, 146, , , 2, , 
2024/12/19, 173, , , 2, , 
2024/12/20, 168, , , 2, , 
2024/12/21, 165, , , 2, , 
2024/12/22, 153, 77, , 1, , 
2024/12/23, 147, , , 1, , 
2024/12/24, 142, , , 1, , 
2024/12/25, 154, , , 2, , 
2024/12/26, 155, , , 1, , 
2024/12/27, 147, 95, 3, 1, 1, 1
2024/12/28, 164, , , 1, , 
2024/12/29, 143, , , , , 
2024/7/1, 61, 44, 4, 10, 9, 2
2024/7/2, 42, 43, 3, 9, 9, 2
2024/7/3, 39, 68, 3, 9, 9, 2
2024/7/4, 60, 22, 3, 10, 9, 2
2024/7/5, 26, 86, 5, 11, 10, 2
2024/7/6, 76, 62, 4, 10, 9, 2
2024/7/7, 69, 22, 3, 10, 9, 2
2024/7/8, 39, 87, 3, 7, 7, 2
2024/7/9, 77, , , , , 
2024/7/11, 44, 30, 3, 11, 11, 3
2024/7/12, 40, 25, 4, 7, 6, 3
2024/7/13, 45, 22, 3, 4, 4, 2
2024/7/14, 38, 20, 3, 5, 5, 3
2024/7/15, 38, 29, 3, 5, 4, 3
2024/7/16, 44, 220, 3, 4, 4, 2
2024/7/17, 155, 15, 3, 4, 3, 2
2024/7/18, 26, 30, 3, 5, 4, 3
2024/7/19, 34, 27, 3, 4, 4, 2
2024/7/20, 35, 98, 3, 4, 4, 2
2024/7/21, 80, 114, 3, 4, 3, 2
2024/7/22, 72, 23, 3, 4, 4, 3
2024/7/23, 27, 223, 3, 4, 4, 3
2024/7/24, 134, 204, 3, 4, 3, 2
2024/7/25, 129, 199, 4, 4, 4, 2
2024/7/26, 58, 138, 5, 4, 4, 2
2024/7/27, 94, 80, 4, 4, 4, 2
2024/7/28, 62, 74, 3, 4, 4, 2
2024/7/29, 58, 82, 3, 4, 4, 3
2024/7/30, 56, 114, 3, 4, 4, 3
2024/7/31, 97, 200, 3, 4, 3, 2
2024/8/1, 152, 56, 3, 4, 3, 2
2024/8/2, 50, 25, 2, 4, 3, 2
2024/8/3, 26, 83, 2, 4, 3, 2
2024/8/4, 74, 35, 2, 4, 3, 2
2024/8/5, 42, 33, 2, 5, 4, 3
2024/8/6, 39, 140, 2, 4, 4, 3
2024/8/7, 110, 73, 2, 4, 4, 2
2024/8/8, 58, 117, 2, 4, 3, 2
2024/8/9, 90, 131, 2, 4, 4, 2
