date, pm25, pm10, o3, no2, co
2025/3/1, 97, 87, 51, , 6
2025/3/2, 108, 91, 34, , 
2025/3/3, 111, 92, 24, , 
2025/3/4, 124, , , , 
2025/2/1, 93, , , , 
2025/2/3, 113, 77, 49, 15, 2
2025/2/4, 118, 87, 30, 14, 
2025/2/5, 123, 90, 28, 20, 7
2025/2/6, 148, 109, 56, 27, 
2025/2/7, 166, 137, 34, 41, 11
2025/2/8, 182, 99, 68, 23, 
2025/2/9, 171, 43, 54, 24, 
2025/2/10, 139, 82, 64, 12, 3
2025/2/11, 160, 76, 53, 14, 4
2025/2/12, 148, 98, 29, 27, 9
2025/2/13, 154, 91, 16, 27, 1
2025/2/14, 158, 86, 25, 1, 8
2025/2/15, 146, 84, 53, 1, 
2025/2/16, 137, 59, 39, 18, 5
2025/2/17, 90, 77, 21, 15, 
2025/2/18, 123, 86, 52, 17, 
2025/2/19, 143, 82, 60, 11, 10
2025/2/20, 147, 86, 27, 28, 
2025/2/21, 130, 91, 71, 32, 8
2025/2/22, 128, 99, 64, 26, 
2025/2/23, 111, 79, 57, 22, 
2025/2/24, 51, 86, 30, 20, 
2025/2/25, 113, 102, 68, 20, 9
2025/2/26, 157, 119, 98, 18, 
2025/2/27, 181, 106, 46, , 
2025/2/28, 157, 73, 24, , 
2025/1/1, 110, 53, 29, 13, 8
2025/1/2, 123, 68, 54, 23, 6
2025/1/3, 138, 68, 32, 30, 10
2025/1/4, 140, 86, 32, 33, 10
2025/1/5, 159, 65, 52, 15, 4
2025/1/6, 140, 77, 24, 13, 5
2025/1/7, 157, 74, 25, 18, 
2025/1/8, 156, 75, 57, 16, 8
2025/1/9, 150, 52, 22, 25, 
2025/1/10, 154, 51, 24, 10, 6
2025/1/11, 155, 51, 32, 12, 
2025/1/12, 148, 65, 43, 15, 
2025/1/13, 183, 108, 27, 20, 
2025/1/14, 177, 110, 45, 24, 
2025/1/15, 180, 105, 50, 16, 7
2025/1/16, 177, 108, 44, 42, 10
2025/1/17, 175, 102, 49, 29, 1
2025/1/18, 165, 109, 32, 18, 
2025/1/19, 173, 110, 59, 25, 
2025/1/20, 173, 111, 59, 25, 
2025/1/21, 172, 119, 66, 25, 11
2025/1/22, 183, 93, 57, 12, 6
2025/1/23, 157, 102, 54, 21, 7
2025/1/24, 161, 120, 66, 27, 
2025/1/25, 178, 121, 75, 20, 12
2025/1/26, 182, 107, 70, 16, 
2025/1/27, 175, 91, 31, 16, 10
2025/1/28, 158, 77, 49, 15, 
2025/1/29, 137, 105, 71, 17, 9
2025/1/30, 172, 67, 32, 11, 6
2025/1/31, 86, 64, 22, 12, 1
2024/10/1, 85, 59, 32, 9, 
2024/10/2, 140, 28, 23, 4, 6
2024/10/3, 76, 19, 16, 5, 
2024/10/4, 38, 26, 13, 12, 
2024/10/5, 56, 37, 44, 10, 6
2024/10/6, 69, 60, 33, 18, 
2024/10/7, 136, 79, 34, 19, 7
2024/10/8, 156, , , , 
2024/10/15, 90, 57, 22, 21, 8
2024/10/16, 110, 55, 19, 15, 
2024/10/17, 126, 50, 16, 12, 
2024/10/18, 120, 19, 99, 17, 1
2024/10/19, 46, 30, 26, 15, 6
2024/10/20, 68, 25, 6, 18, 7
2024/10/21, 64, 37, 20, 119, 
2024/10/22, 86, 48, 55, 93, 
2024/10/23, 109, 77, 69, 19, 11
2024/10/24, 159, 85, 35, 20, 11
2024/10/25, 164, 88, 79, 20, 
2024/10/26, 160, 92, 34, 18, 
2024/10/27, 158, 82, 24, 15, 
2024/10/28, 140, 65, 17, 11, 
2024/10/29, 100, 82, 46, 18, 12
2024/10/30, 124, 99, 56, 20, 
2024/10/31, 151, 95, 21, 15, 
2024/11/1, 139, 96, 26, 17, 10
2024/11/2, 140, 86, 65, 18, 7
2024/11/3, 138, 112, 63, 20, 8
2024/11/4, 144, 88, 79, 19, 
2024/11/5, 136, 83, 65, 24, 8
2024/11/6, 117, 87, 77, 18, 7
2024/11/7, 157, 88, 59, 20, 
2024/11/8, 164, 90, 22, 22, 7
2024/11/9, 164, 94, 45, 25, 5
2024/11/10, 164, 87, 16, 27, 4
2024/11/11, 167, 75, 16, 20, 1
2024/11/12, 161, 87, 31, 22, 
2024/11/13, 164, 82, 78, 43, 
2024/11/14, 157, 88, 46, 28, 
2024/11/15, 164, 99, 33, 25, 10
2024/11/16, 174, 93, 28, 18, 
2024/11/17, 183, 79, 55, 21, 7
2024/11/18, 155, 72, 32, 22, 
2024/11/19, 147, 76, 96, 16, 4
2024/11/20, 155, 95, 25, 31, 
2024/11/21, 154, 79, 77, 15, 2
2024/11/22, 166, 96, 83, 27, 
2024/11/23, 172, 106, 97, 23, 
2024/11/24, 176, 92, 63, 22, 
2024/11/25, 161, 81, 30, 23, 4
2024/11/26, 157, 73, 60, 25, 
2024/11/27, 152, 71, 46, 26, 2
2024/11/28, 150, 67, 25, 23, 
2024/11/29, 133, 76, 66, 20, 2
2024/11/30, 155, 141, 28, 20, 
2024/12/1, 165, 86, 73, 19, 10
2024/12/2, 172, 74, 22, 14, 2
2024/12/3, 159, 68, 54, 19, 
2024/12/4, 156, 75, 57, 22, 
2024/12/5, 162, 75, 61, 19, 
2024/12/6, 161, 62, 29, 14, 
2024/12/7, 134, 58, 27, 15, 1
2024/12/8, 106, 60, 46, 21, 
2024/12/9, 107, 66, 28, 20, 
2024/12/10, 112, 75, 30, 22, 
2024/12/11, 151, 72, 49, 22, 
2024/12/12, 152, 69, 47, 20, 4
2024/12/13, 144, 70, 60, 24, 3
2024/12/14, 141, 68, 64, 21, 4
2024/12/15, 141, 76, 76, 31, 
2024/12/16, 152, 87, 78, 47, 
2024/12/17, 159, 89, 45, 33, 5
2024/12/18, 163, 103, 81, 37, 6
2024/12/19, 174, 53, 11, 7, 
2024/12/20, 129, , , , 
2024/12/23, 163, 83, 57, 11, 
2024/12/24, 164, 95, 54, 13, 
2024/12/25, 175, 147, 49, 10, 
2024/12/26, 174, 82, 38, 15, 
2024/12/27, 164, 96, 48, 9, 
2024/12/28, 180, 91, 24, 12, 
2024/12/29, 176, , , , 
2024/7/1, 17, , , , 
2024/7/3, 53, 44, 4, , 7
2024/7/4, 61, 2, 10, , 10
2024/7/5, 67, 37, 12, 2, 8
2024/7/6, 52, 50, 12, 3, 9
2024/7/7, 69, 39, 9, 14, 7
2024/7/8, 63, 18, 3, 7, 8
2024/7/9, 12, , , , 
2024/7/11, 7, 32, 8, 4, 7
2024/7/12, 6, , , , 
2024/8/10, 3, , , , 
2024/8/12, 7, , , , 
2024/8/14, 8, , , , 
2024/8/18, 12, , , , 
2024/9/23, 27, , , , 
2024/9/25, 64, 6, 13, 3, 
2024/9/26, 48, 9, 11, 3, 
2024/9/27, 34, 9, 22, 5, 5
2024/9/28, 27, 6, 21, 8, 
2024/9/29, 31, 23, 16, 9, 6
2024/9/30, 58, 39, 18, 8, 
2024/4/1, 178, , , , 
2024/4/3, 244, 62, 14, 9, 3
2024/4/4, 170, 91, 41, 8, 6
2024/4/5, 107, , , , 
2024/4/10, 160, 71, 17, 11, 6
2024/4/11, 88, , , , 
2024/4/13, 154, 56, 14, 10, 3
2024/4/14, 152, 52, 10, 6, 7
2024/4/15, 91, , , , 
2024/4/25, 77, , , , 
2024/4/27, 172, 94, 61, 9, 9
2024/4/28, 201, 91, 41, 9, 5
2024/4/29, 101, 96, 51, 10, 7
2024/4/30, 104, 85, 34, 7, 5
2024/5/1, 85, 90, 32, 2, 5
2024/5/2, 154, 90, 28, 34, 4
2024/5/3, 155, 66, 11, 6, 9
2024/5/4, 120, 57, 17, 5, 14
2024/5/5, 103, 56, 17, 4, 13
2024/5/6, 97, 61, 12, 2, 11
2024/5/7, 67, 54, 24, 1, 13
2024/5/8, 95, 47, 25, 1, 14
2024/5/9, 79, 49, 12, 1, 11
2024/5/10, 80, 51, 12, 5, 11
2024/5/11, 75, , , , 
2024/5/13, 162, 73, 84, 21, 16
2024/5/14, 136, 66, 8, 28, 14
2024/5/15, 86, , , , 
2024/5/17, 117, 66, 13, 5, 8
2024/5/18, 116, 77, 26, 12, 10
2024/5/19, 93, 59, 10, 12, 9
2024/5/20, 73, 55, 12, 10, 11
2024/5/21, 89, 70, 18, 12, 8
2024/5/22, 70, 65, 19, 18, 11
2024/5/23, 119, 62, 10, 12, 11
2024/5/24, 76, 56, 8, 11, 9
2024/5/25, 98, 57, 19, 10, 12
2024/5/26, 73, 66, 15, 10, 10
2024/5/27, 80, 57, 8, 11, 10
2024/5/28, 65, 73, 8, 4, 8
2024/5/29, 128, 72, 15, 11, 8
2024/5/30, 80, 60, 14, 11, 9
